date,close,ticker
2018-01-02,85.47,FXY
2018-01-03,85.3,FXY
2018-01-04,85.13,FXY
2018-01-05,84.84,FXY
2018-01-08,84.8533,FXY
2018-01-09,85.2101,FXY
2018-01-10,86.17,FXY
2018-01-11,86.28,FXY
2018-01-12,86.42,FXY
2018-01-16,86.94,FXY
2018-01-17,86.3,FXY
2018-01-18,86.41,FXY
2018-01-19,86.64,FXY
2018-01-22,86.48,FXY
2018-01-23,86.98,FXY
2018-01-24,87.94,FXY
2018-01-25,87.81,FXY
2018-01-26,88.26,FXY
2018-01-29,88.07,FXY
2018-01-30,88.14,FXY
2018-01-31,87.88,FXY
2018-02-01,87.78,FXY
2018-02-02,87.13,FXY
2018-02-05,87.8,FXY
2018-02-06,87.57,FXY
2018-02-07,87.52,FXY
2018-02-08,88.21,FXY
2018-02-09,88.21,FXY
2018-02-12,88.3,FXY
2018-02-13,88.99,FXY
2018-02-14,89.68,FXY
2018-02-15,90.41,FXY
2018-02-16,90.22,FXY
2018-02-20,89.39,FXY
2018-02-21,89.04,FXY
2018-02-22,89.91,FXY
2018-02-23,89.72,FXY
2018-02-26,89.63,FXY
2018-02-27,89.28,FXY
2018-02-28,89.94,FXY
2018-03-01,90.31,FXY
2018-03-02,90.74,FXY
2018-03-05,90.31,FXY
2018-03-06,90.29,FXY
2018-03-07,90.41,FXY
2018-03-08,90.23,FXY
2018-03-09,89.74,FXY
2018-03-12,90.17,FXY
2018-03-13,89.99,FXY
2018-03-14,90.25,FXY
2018-03-15,90.24,FXY
2018-03-16,90.4,FXY
2018-03-19,90.32,FXY
2018-03-20,89.97,FXY
2018-03-21,90.52,FXY
2018-03-22,90.98,FXY
2018-03-23,91.52,FXY
2018-03-26,90.91,FXY
2018-03-27,90.87,FXY
2018-03-28,89.59,FXY
2018-03-29,90.11,FXY
2018-04-02,90.52,FXY
2018-04-03,89.85,FXY
2018-04-04,89.73,FXY
2018-04-05,89.17,FXY
2018-04-06,89.68,FXY
2018-04-09,89.83,FXY
2018-04-10,89.39,FXY
2018-04-11,89.7,FXY
2018-04-12,89.35,FXY
2018-04-13,89.21,FXY
2018-04-16,89.44,FXY
2018-04-17,89.51,FXY
2018-04-18,89.34,FXY
2018-04-19,89.23,FXY
2018-04-20,89.01,FXY
2018-04-23,88.1,FXY
2018-04-24,88.1,FXY
2018-04-25,87.63,FXY
2018-04-26,87.63,FXY
2018-04-27,87.84,FXY
2018-04-30,87.65,FXY
2018-05-01,87.17,FXY
2018-05-02,87.14,FXY
2018-05-03,87.74,FXY
2018-05-04,87.8,FXY
