date,close,ticker
2018-01-02,16.21,SLV
2018-01-03,16.17,SLV
2018-01-04,16.23,SLV
2018-01-05,16.22,SLV
2018-01-08,16.15,SLV
2018-01-09,16.03,SLV
2018-01-10,16.02,SLV
2018-01-11,16.01,SLV
2018-01-12,16.27,SLV
2018-01-16,16.25,SLV
2018-01-17,16.06,SLV
2018-01-18,15.97,SLV
2018-01-19,16.05,SLV
2018-01-22,16.04,SLV
2018-01-23,16.08,SLV
2018-01-24,16.56,SLV
2018-01-25,16.31,SLV
2018-01-26,16.41,SLV
2018-01-29,16.21,SLV
2018-01-30,16.15,SLV
2018-01-31,16.35,SLV
2018-02-01,16.25,SLV
2018-02-02,15.66,SLV
2018-02-05,15.74,SLV
2018-02-06,15.65,SLV
2018-02-07,15.41,SLV
2018-02-08,15.46,SLV
2018-02-09,15.39,SLV
2018-02-12,15.57,SLV
2018-02-13,15.62,SLV
2018-02-14,15.91,SLV
2018-02-15,15.91,SLV
2018-02-16,15.73,SLV
2018-02-20,15.54,SLV
2018-02-21,15.54,SLV
2018-02-22,15.66,SLV
2018-02-23,15.59,SLV
2018-02-26,15.68,SLV
2018-02-27,15.48,SLV
2018-02-28,15.46,SLV
2018-03-01,15.54,SLV
2018-03-02,15.56,SLV
2018-03-05,15.49,SLV
2018-03-06,15.78,SLV
2018-03-07,15.53,SLV
2018-03-08,15.55,SLV
2018-03-09,15.63,SLV
2018-03-12,15.61,SLV
2018-03-13,15.61,SLV
2018-03-14,15.61,SLV
2018-03-15,15.45,SLV
2018-03-16,15.39,SLV
2018-03-19,15.39,SLV
2018-03-20,15.28,SLV
2018-03-21,15.65,SLV
2018-03-22,15.44,SLV
2018-03-23,15.58,SLV
2018-03-26,15.72,SLV
2018-03-27,15.57,SLV
2018-03-28,15.36,SLV
2018-03-29,15.41,SLV
2018-04-02,15.65,SLV
2018-04-03,15.46,SLV
2018-04-04,15.38,SLV
2018-04-05,15.45,SLV
2018-04-06,15.43,SLV
2018-04-09,15.56,SLV
2018-04-10,15.62,SLV
2018-04-11,15.69,SLV
2018-04-12,15.52,SLV
2018-04-13,15.68,SLV
2018-04-16,15.72,SLV
2018-04-17,15.8,SLV
2018-04-18,16.18,SLV
2018-04-19,16.26,SLV
2018-04-20,16.13,SLV
2018-04-23,15.67,SLV
2018-04-24,15.76,SLV
2018-04-25,15.61,SLV
2018-04-26,15.58,SLV
2018-04-27,15.57,SLV
2018-04-30,15.38,SLV
2018-05-01,15.24,SLV
2018-05-02,15.42,SLV
2018-05-03,15.46,SLV
2018-05-04,15.54,SLV
2018-05-07,15.52,SLV
2018-05-08,15.51,SLV
2018-05-09,15.53,SLV
2018-05-10,15.74,SLV
2018-05-11,15.7,SLV
2018-05-14,15.56,SLV
2018-05-15,15.33,SLV
2018-05-16,15.41,SLV
2018-05-17,15.47,SLV
2018-05-18,15.48,SLV
2018-05-21,15.54,SLV
2018-05-22,15.58,SLV
2018-05-23,15.5,SLV
2018-05-24,15.69,SLV
2018-05-25,15.53,SLV
2018-05-29,15.44,SLV
2018-05-30,15.55,SLV
2018-05-31,15.46,SLV
2018-06-01,15.44,SLV
2018-06-04,15.45,SLV
2018-06-05,15.52,SLV
2018-06-06,15.7,SLV
2018-06-07,15.72,SLV
2018-06-08,15.78,SLV
2018-06-11,15.94,SLV
2018-06-12,15.87,SLV
2018-06-13,16.08,SLV
2018-06-14,16.17,SLV
2018-06-15,15.6,SLV
2018-06-18,15.51,SLV
2018-06-19,15.36,SLV
2018-06-20,15.34,SLV
2018-06-21,15.36,SLV
2018-06-22,15.5,SLV
2018-06-25,15.37,SLV
2018-06-26,15.33,SLV
2018-06-27,15.12,SLV
2018-06-28,15.07,SLV
2018-06-29,15.15,SLV
2018-07-02,14.91,SLV
2018-07-03,15.03,SLV
2018-07-05,15.1,SLV
2018-07-06,15.08,SLV
2018-07-09,15.17,SLV
2018-07-10,15.12,SLV
2018-07-11,14.86,SLV
2018-07-12,15.0,SLV
2018-07-13,14.88,SLV
2018-07-16,14.85,SLV
2018-07-17,14.67,SLV
2018-07-18,14.63,SLV
2018-07-19,14.42,SLV
2018-07-20,14.59,SLV
2018-07-23,14.47,SLV
2018-07-24,14.58,SLV
2018-07-25,14.68,SLV
2018-07-26,14.49,SLV
2018-07-27,14.57,SLV
2018-07-30,14.58,SLV
2018-07-31,14.61,SLV
2018-08-01,14.48,SLV
2018-08-02,14.43,SLV
2018-08-03,14.5,SLV
2018-08-06,14.4,SLV
2018-08-07,14.43,SLV
2018-08-08,14.5,SLV
2018-08-09,14.52,SLV
2018-08-10,14.41,SLV
2018-08-13,14.1,SLV
2018-08-14,14.17,SLV
2018-08-15,13.57,SLV
2018-08-16,13.77,SLV
2018-08-17,13.92,SLV
2018-08-20,13.88,SLV
2018-08-21,13.89,SLV
2018-08-22,13.88,SLV
2018-08-23,13.65,SLV
2018-08-24,13.92,SLV
2018-08-27,13.99,SLV
2018-08-28,13.84,SLV
2018-08-29,13.87,SLV
2018-08-30,13.7,SLV
2018-08-31,13.65,SLV
2018-09-04,13.31,SLV
2018-09-05,13.35,SLV
2018-09-06,13.31,SLV
2018-09-07,13.32,SLV
2018-09-10,13.31,SLV
2018-09-11,13.28,SLV
2018-09-12,13.39,SLV
2018-09-13,13.35,SLV
2018-09-14,13.23,SLV
2018-09-17,13.31,SLV
2018-09-18,13.31,SLV
2018-09-19,13.4,SLV
2018-09-20,13.45,SLV
2018-09-21,13.44,SLV
2018-09-24,13.41,SLV
2018-09-25,13.59,SLV
2018-09-26,13.49,SLV
2018-09-27,13.41,SLV
2018-09-28,13.73,SLV
2018-10-01,13.62,SLV
2018-10-02,13.79,SLV
2018-10-03,13.78,SLV
2018-10-04,13.71,SLV
2018-10-05,13.75,SLV
2018-10-08,13.53,SLV
2018-10-09,13.53,SLV
2018-10-10,13.45,SLV
2018-10-11,13.67,SLV
2018-10-12,13.74,SLV
2018-10-15,13.8,SLV
2018-10-16,13.78,SLV
2018-10-17,13.74,SLV
2018-10-18,13.7,SLV
2018-10-19,13.74,SLV
2018-10-22,13.68,SLV
2018-10-23,13.83,SLV
2018-10-24,13.79,SLV
2018-10-25,13.74,SLV
2018-10-26,13.81,SLV
2018-10-29,13.59,SLV
2018-10-30,13.61,SLV
2018-10-31,13.41,SLV
2018-11-01,13.83,SLV
2018-11-02,13.86,SLV
2018-11-05,13.76,SLV
2018-11-06,13.65,SLV
2018-11-07,13.67,SLV
2018-11-08,13.56,SLV
2018-11-09,13.32,SLV
2018-11-12,13.17,SLV
2018-11-13,13.15,SLV
2018-11-14,13.28,SLV
2018-11-15,13.42,SLV
2018-11-16,13.53,SLV
2018-11-19,13.55,SLV
2018-11-20,13.45,SLV
2018-11-21,13.6,SLV
2018-11-23,13.42,SLV
2018-11-26,13.39,SLV
2018-11-27,13.29,SLV
2018-11-28,13.43,SLV
2018-11-29,13.43,SLV
2018-11-30,13.32,SLV
2018-12-03,13.49,SLV
2018-12-04,13.62,SLV
2018-12-06,13.6,SLV
2018-12-07,13.73,SLV
2018-12-10,13.65,SLV
2018-12-11,13.66,SLV
2018-12-12,13.82,SLV
2018-12-13,13.86,SLV
2018-12-14,13.7,SLV
2018-12-17,13.77,SLV
2018-12-18,13.75,SLV
2018-12-19,13.69,SLV
2018-12-20,13.85,SLV
2018-12-21,13.74,SLV
2018-12-24,13.87,SLV
2018-12-26,14.11,SLV
2018-12-27,14.3,SLV
2018-12-28,14.42,SLV
2018-12-31,14.52,SLV
2019-01-02,14.56,SLV
2019-01-03,14.75,SLV
2019-01-04,14.73,SLV
2019-01-07,14.67,SLV
2019-01-08,14.69,SLV
2019-01-09,14.78,SLV
2019-01-10,14.6,SLV
2019-01-11,14.64,SLV
2019-01-14,14.66,SLV
2019-01-15,14.6,SLV
2019-01-16,14.63,SLV
2019-01-17,14.57,SLV
2019-01-18,14.37,SLV
2019-01-22,14.39,SLV
2019-01-23,14.42,SLV
2019-01-24,14.36,SLV
2019-01-25,14.74,SLV
2019-01-28,14.79,SLV
2019-01-29,14.88,SLV
2019-01-30,15.05,SLV
2019-01-31,15.05,SLV
2019-02-01,14.92,SLV
2019-02-04,14.88,SLV
2019-02-05,14.87,SLV
2019-02-06,14.68,SLV
2019-02-07,14.77,SLV
2019-02-08,14.83,SLV
2019-02-11,14.72,SLV
2019-02-12,14.73,SLV
2019-02-13,14.59,SLV
2019-02-14,14.65,SLV
2019-02-15,14.82,SLV
2019-02-19,15.02,SLV
2019-02-20,15.07,SLV
2019-02-21,14.83,SLV
2019-02-22,14.95,SLV
2019-02-25,14.9,SLV
2019-02-26,14.94,SLV
2019-02-27,14.75,SLV
2019-02-28,14.63,SLV
2019-03-01,14.2,SLV
2019-03-04,14.15,SLV
2019-03-05,14.2,SLV
2019-03-06,14.15,SLV
2019-03-07,14.09,SLV
2019-03-08,14.41,SLV
2019-03-11,14.37,SLV
2019-03-12,14.48,SLV
2019-03-13,14.51,SLV
2019-03-14,14.24,SLV
2019-03-15,14.33,SLV
2019-03-18,14.39,SLV
2019-03-19,14.4,SLV
2019-03-20,14.54,SLV
2019-03-21,14.5,SLV
2019-03-22,14.45,SLV
2019-03-25,14.56,SLV
2019-03-26,14.47,SLV
2019-03-27,14.32,SLV
2019-03-28,14.07,SLV
2019-03-29,14.18,SLV
2019-04-01,14.15,SLV
2019-04-02,14.16,SLV
2019-04-03,14.2,SLV
2019-04-04,14.22,SLV
2019-04-05,14.17,SLV
2019-04-08,14.31,SLV
2019-04-09,14.28,SLV
2019-04-10,14.28,SLV
2019-04-11,14.02,SLV
2019-04-12,14.05,SLV
2019-04-15,14.06,SLV
2019-04-16,14.07,SLV
2019-04-17,14.05,SLV
2019-04-18,14.06,SLV
2019-04-22,14.08,SLV
2019-04-23,13.91,SLV
2019-04-24,14.0,SLV
2019-04-25,14.0,SLV
2019-04-26,14.1,SLV
2019-04-29,13.99,SLV
2019-04-30,14.02,SLV
2019-05-01,13.75,SLV
2019-05-02,13.71,SLV
2019-05-03,13.96,SLV
2019-05-06,13.98,SLV
2019-05-07,13.98,SLV
2019-05-08,13.89,SLV
2019-05-09,13.83,SLV
2019-05-10,13.84,SLV
2019-05-13,13.84,SLV
2019-05-14,13.86,SLV
2019-05-15,13.85,SLV
2019-05-16,13.65,SLV
2019-05-17,13.52,SLV
2019-05-20,13.55,SLV
2019-05-21,13.53,SLV
2019-05-22,13.54,SLV
2019-05-23,13.68,SLV
2019-05-24,13.65,SLV
2019-05-28,13.46,SLV
2019-05-29,13.52,SLV
2019-05-30,13.6,SLV
2019-05-31,13.65,SLV
2019-06-03,13.87,SLV
2019-06-04,13.89,SLV
2019-06-05,13.88,SLV
2019-06-06,13.92,SLV
2019-06-07,14.06,SLV
