date,close,ticker
2018-01-02,96.56,USO
2018-01-03,98.72,USO
2018-01-04,98.96,USO
2018-01-05,98.48,USO
2018-01-08,99.04,USO
2018-01-09,100.56,USO
2018-01-10,101.44,USO
2018-01-11,101.6,USO
2018-01-12,102.96,USO
2018-01-16,102.08,USO
2018-01-17,102.24,USO
2018-01-18,102.08,USO
2018-01-19,101.76,USO
2018-01-22,102.24,USO
2018-01-23,103.76,USO
2018-01-24,105.76,USO
2018-01-25,104.48,USO
2018-01-26,105.92,USO
2018-01-29,104.88,USO
2018-01-30,103.2,USO
2018-01-31,103.84,USO
2018-02-01,105.92,USO
2018-02-02,104.32,USO
2018-02-05,102.16,USO
2018-02-06,101.6,USO
2018-02-07,98.96,USO
2018-02-08,96.72,USO
2018-02-09,94.88,USO
2018-02-12,95.12,USO
2018-02-13,94.96,USO
2018-02-14,97.44,USO
2018-02-15,98.64,USO
2018-02-16,99.04,USO
2018-02-20,99.12,USO
2018-02-21,98.32,USO
2018-02-22,100.72,USO
2018-02-23,102.16,USO
2018-02-26,102.88,USO
2018-02-27,101.2,USO
2018-02-28,98.96,USO
2018-03-01,98.8,USO
2018-03-02,98.96,USO
2018-03-05,100.72,USO
2018-03-06,100.56,USO
2018-03-07,98.8,USO
2018-03-08,97.2,USO
2018-03-09,99.76,USO
2018-03-12,98.96,USO
2018-03-13,97.92,USO
2018-03-14,98.24,USO
2018-03-15,98.72,USO
2018-03-16,100.4,USO
2018-03-19,100.4,USO
2018-03-20,102.48,USO
2018-03-21,105.44,USO
2018-03-22,103.6,USO
2018-03-23,106.24,USO
2018-03-26,105.68,USO
2018-03-27,104.64,USO
2018-03-28,104.32,USO
2018-03-29,104.72,USO
2018-04-02,101.92,USO
2018-04-03,102.48,USO
2018-04-04,102.56,USO
2018-04-05,102.64,USO
2018-04-06,100.08,USO
2018-04-09,102.16,USO
2018-04-10,106.0,USO
2018-04-11,107.6,USO
2018-04-12,108.16,USO
2018-04-13,108.4,USO
2018-04-16,107.04,USO
2018-04-17,107.28,USO
2018-04-18,111.04,USO
2018-04-19,110.16,USO
2018-04-20,110.0,USO
2018-04-23,111.36,USO
2018-04-24,109.44,USO
2018-04-25,109.76,USO
2018-04-26,110.16,USO
2018-04-27,109.84,USO
2018-04-30,110.4,USO
2018-05-01,108.88,USO
2018-05-02,109.36,USO
2018-05-03,110.56,USO
2018-05-04,112.72,USO
2018-05-07,112.8,USO
2018-05-08,112.48,USO
2018-05-09,114.96,USO
2018-05-10,115.28,USO
2018-05-11,114.0,USO
2018-05-14,115.04,USO
2018-05-15,115.2,USO
2018-05-16,115.68,USO
2018-05-17,115.92,USO
2018-05-18,115.44,USO
2018-05-21,117.36,USO
2018-05-22,116.48,USO
2018-05-23,116.08,USO
2018-05-24,114.32,USO
2018-05-25,109.44,USO
2018-05-29,108.08,USO
2018-05-30,110.64,USO
2018-05-31,108.4,USO
